trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,total_profit
2022/5/6,2022/5/5,2227.682,2274.394,2222.488,2244.969,138577.59,4812982.37,-0.01898,159,645352.5846
2022/5/9,2022/5/6,2236.169,2263.12,2213.582,2228.073,114153.88,3870520.74,-0.007526,122,640495.661
2022/5/10,2022/5/9,2192.058,2287.869,2187.438,2276.345,154405.66,5479049.29,0.021665,63,654371.9995
2022/5/11,2022/5/10,2280.96,2401.099,2275.271,2346.152,221776.48,7844988.56,0.030666,31,674438.9713
2022/5/12,2022/5/11,2325.949,2367.307,2324.757,2351.271,141193.14,4638675.55,0.002182,25,675910.5971
2022/5/13,2022/5/12,2367.546,2373.302,2334.366,2358.161,112919.75,3887630.05,0.00293,28,677891.0151
2022/5/16,2022/5/13,2376.643,2395.753,2328.74,2331.23,119165.01,4185629.81,-0.01142,23,670149.4997
2022/5/17,2022/5/16,2335.125,2370.663,2323.07,2369.089,129209.67,4564230.8,0.01624,28,681032.7276
2022/5/18,2022/5/17,2373.889,2384.598,2352.916,2365.377,130758.19,4166338.32,-0.001567,31,679965.5493
2022/5/19,2022/5/18,2329.963,2377.315,2325.671,2377.127,131732.43,4679880.67,0.004967,12,683342.9382
2022/5/20,2022/5/19,2395.352,2426.576,2384.114,2417.349,160572.33,5656927.2,0.01692,19,694905.1007
2022/5/23,2022/5/20,2422.128,2423.791,2385.695,2410.122,129830.22,4608699.76,-0.00299,19,692827.3345
2022/5/24,2022/5/23,2404.596,2404.596,2316.788,2318.075,162813.29,5469974.57,-0.038192,33,666366.8729
2022/5/25,2022/5/24,2320.78,2332.959,2303.154,2325.597,123535.88,4038802.85,0.003245,37,668529.2334
2022/5/26,2022/5/25,2329.434,2343.208,2283.442,2321.134,148553.8,4438142.72,-0.001919,20,667246.3258
2022/5/27,2022/5/26,2340.616,2377.402,2311.057,2322.482,127463.8,4516912.08,0.000581,15,667633.9959
2022/5/30,2022/5/27,2338.355,2359.575,2323.823,2350.384,120623.99,4428653.35,0.012014,25,675654.9508
2022/5/31,2022/5/30,2349.789,2411.176,2323.352,2405.085,192273.56,6219871.44,0.023273,18,691379.4684
2022/6/1,2022/5/31,2403.355,2441.388,2395.966,2428.957,162160.03,5517790.23,0.009926,25,698242.101
2022/6/2,2022/6/1,2418.663,2463.345,2411.708,2458.256,161545.91,5779794.64,0.012062,26,706664.2973
2022/6/6,2022/6/2,2456.162,2562.016,2455.951,2554.659,208946.64,7720928.72,0.039216,0,734376.8443
2022/6/7,2022/6/6,2555.55,2575.889,2532.781,2554.627,174142.05,6448085.12,-0.000013,10,734367.2974
