,ts_code,trade_date,trade_date1,qid_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
62,399300.SZ,20231024,2023/10/24,2023/10/23,3487.1302,3481.7644,3495.0039,3453.1016,3474.2438,12.8864,0.3709,115547289,186529203.4
63,399300.SZ,20231023,2023/10/23,2023/10/20,3474.2438,3500.199,3505.3468,3450.6456,3510.5889,-36.3451,-1.0353,96561652,152054894.2
64,399300.SZ,20231020,2023/10/20,2023/10/19,3510.5889,3518.3464,3535.6623,3501.725,3533.5445,-22.9556,-0.6496,98518605,169591289.1
65,399300.SZ,20231019,2023/10/19,2023/10/18,3533.5445,3588.5154,3588.5154,3532.3059,3610.5767,-77.0322,-2.1335,111737520,189194781.8
66,399300.SZ,20231018,2023/10/18,2023/10/17,3610.5767,3631.0671,3632.0579,3608.9768,3639.4018,-28.8251,-0.792,94545879,158982356.7
67,399300.SZ,20231017,2023/10/17,2023/10/16,3639.4018,3635.2994,3645.5654,3619.1277,3626.5972,12.8046,0.3531,90745188,147056233.3
68,399300.SZ,20231016,2023/10/16,2023/10/13,3626.5972,3664.039,3664.039,3615.7686,3663.4104,-36.8132,-1.0049,91853118,159537973.6
69,399300.SZ,20231013,2023/10/13,2023/10/12,3663.4104,3677.9585,3678.1913,3652.3094,3702.3824,-38.972,-1.0526,98287987,170152309
70,399300.SZ,20231012,2023/10/12,2023/10/11,3702.3824,3697.9337,3711.4985,3682.8418,3667.5483,34.8341,0.9498,114363225,194598219.8
71,399300.SZ,20231011,2023/10/11,2023/10/10,3667.5483,3674.7514,3689.5347,3658.355,3657.1259,10.4224,0.285,102091587,187667554.1
72,399300.SZ,20231010,2023/10/10,2023/10/9,3657.1259,3696.2542,3701.2562,3655.589,3684.7272,-27.6013,-0.7491,99163730,161938958.9
73,399300.SZ,20231009,2023/10/9,2023/9/28,3684.7272,3678.929,3694.1713,3641.9966,3689.5172,-4.79,-0.1298,102148058,178072374.7
74,399300.SZ,20230928,2023/9/28,2023/9/27,3689.5172,3711.2117,3716.0569,3685.3001,3700.495,-10.9778,-0.2967,85221719,153500421.3
75,399300.SZ,20230927,2023/9/27,2023/9/26,3700.495,3694.9607,3731.1405,3694.3938,3692.8928,7.6022,0.2059,91629210,164790435.3
76,399300.SZ,20230926,2023/9/26,2023/9/25,3692.8928,3711.7106,3723.8481,3692.6172,3714.6037,-21.7109,-0.5845,78044525,137808437.8
77,399300.SZ,20230925,2023/9/25,2023/9/22,3714.6037,3738.0622,3738.0622,3711.2049,3738.9327,-24.329,-0.6507,92596479,155793827.4
78,399300.SZ,20230922,2023/9/22,2023/9/21,3738.9327,3672.6402,3740.4183,3664.7661,3672.4448,66.4879,1.8105,110231166,192236467.4
79,399300.SZ,20230921,2023/9/21,2023/9/20,3672.4448,3698.313,3708.4557,3672.4448,3705.6898,-33.245,-0.8971,83031005,135011796.6
80,399300.SZ,20230920,2023/9/20,2023/9/19,3705.6898,3715.9578,3718.5207,3705.1274,3720.5021,-14.8123,-0.3981,75448209,117691806
