Sampling Rate,Model,Value
50%,LambdaMART,-0.650659319
50%,LambdaMART,-0.6532769
50%,LambdaMART,-0.654830131
50%,LambdaMART,-0.657972717
50%,LambdaMART,-0.659070917
50%,LambdaMART,-0.668767333
50%,LambdaMART,-0.669309931
50%,LambdaMART,-0.672170713
50%,LambdaMART,-0.672875979
50%,LambdaMART,-0.676544519
50%,LambdaMART,-0.677254977
50%,LambdaMART,-0.681819155
50%,LambdaMART,-0.686371546
50%,LambdaMART,-0.688079372
50%,LambdaMART,-0.693721074
50%,LambdaMART,-0.69677457
50%,LambdaMART,-0.697685606
50%,LambdaMART,-0.700541168
50%,LambdaMART,-0.702141791
50%,LambdaMART,-0.707117289
50%,LambdaMART,-0.708997986
50%,LambdaMART,-0.710535558
50%,LambdaMART,-0.723416954
50%,LambdaMART,-0.724394103
50%,LambdaMART,-0.726730534
50%,LambdaMART,-0.727415058
50%,LambdaMART,-0.727723762
50%,LambdaMART,-0.731734419
50%,LambdaMART,-0.739687049
50%,LambdaMART,-0.741282688
50%,LambdaMART,-0.741775265
50%,LambdaMART,-0.743110154
50%,LambdaMART,-0.743293046
50%,LambdaMART,-0.746052949
50%,LambdaMART,-0.748630619
50%,LambdaMART,-0.75548016
50%,LambdaMART,-0.758689909
50%,LambdaMART,-0.761722001
50%,LambdaMART,-0.778654286
50%,LambdaMART,-0.783118087
50%,LambdaMART,-0.788138163
50%,LambdaMART,-0.789285983
50%,LambdaMART,-0.789519631
50%,LambdaMART,-0.791315042
50%,LambdaMART,-0.792406832
50%,LambdaMART,-0.792570908
50%,LambdaMART,-0.79275611
50%,LambdaMART,-0.793088797
50%,LambdaMART,-0.793961856
50%,LambdaMART,-0.797122725
50%,LambdaMART,-0.797438903
50%,LambdaMART,-0.802413834
50%,LambdaMART,-0.803572588
50%,LambdaMART,-0.807886918
50%,LambdaMART,-0.808942743
50%,LambdaMART,-0.809944979
50%,LambdaMART,-0.810134859
50%,LambdaMART,-0.813081457
50%,LambdaMART,-0.813798338
50%,LambdaMART,-0.818231633
50%,LambdaMART,-0.819785133
50%,LambdaMART,-0.820918778
50%,LambdaMART,-0.822556115
50%,LambdaMART,-0.827384548
50%,LambdaMART,-0.828215307
50%,LambdaMART,-0.828455164
50%,LambdaMART,-0.829128175
50%,LambdaMART,-0.829446965
50%,LambdaMART,-0.830399729
50%,LambdaMART,-0.836631015
50%,LambdaMART,-0.840306762
50%,LambdaMART,-0.840472963
50%,LambdaMART,-0.841947268
50%,LambdaMART,-0.844291421
50%,LambdaMART,-0.846293857
50%,LambdaMART,-0.850390554
50%,LambdaMART,-0.8517035
50%,LambdaMART,-0.852050465
50%,LambdaMART,-0.853014013
50%,LambdaMART,-0.85409486
50%,LambdaMART,-0.857737798
50%,LambdaMART,-0.86103921
50%,LambdaMART,-0.861982887
50%,LambdaMART,-0.863209836
50%,LambdaMART,-0.865017806
50%,LambdaMART,-0.87277212
50%,LambdaMART,-0.873002183
50%,LambdaMART,-0.874192854
50%,LambdaMART,-0.874564179
50%,LambdaMART,-0.878206282
50%,LambdaMART,-0.88046687
50%,LambdaMART,-0.880617679
50%,LambdaMART,-0.88520899
50%,LambdaMART,-0.885471934
50%,LambdaMART,-0.895896694
50%,LambdaMART,-0.897708876
50%,LambdaMART,-0.90102712
50%,LambdaMART,-0.903605263
50%,LambdaMART,-0.908995715
50%,LambdaMART,-0.915217495
50%,LambdaMART,-0.915905407
50%,LambdaMART,-0.922221494
50%,LambdaMART,-0.92318859
50%,LambdaMART,-0.932600148
50%,LambdaMART,-0.934723816
50%,LambdaMART,-0.943284574
60%,LambdaMART,7.98780443
60%,LambdaMART,7.34791248
60%,LambdaMART,7.337157682
60%,LambdaMART,6.826163809
60%,LambdaMART,6.490874879
60%,LambdaMART,5.596314617
60%,LambdaMART,5.356468387
60%,LambdaMART,5.134626247
60%,LambdaMART,5.124013417
60%,LambdaMART,4.754526363
60%,LambdaMART,4.654854954
60%,LambdaMART,4.213649506
60%,LambdaMART,4.11956061
60%,LambdaMART,4.100658291
60%,LambdaMART,3.895342398
60%,LambdaMART,3.889531892
60%,LambdaMART,3.725134796
60%,LambdaMART,3.662855755
60%,LambdaMART,3.58080345
60%,LambdaMART,3.55009572
60%,LambdaMART,3.543230428
60%,LambdaMART,3.378175305
60%,LambdaMART,3.251973322
60%,LambdaMART,3.226540681
60%,LambdaMART,2.991245338
60%,LambdaMART,2.986149376
60%,LambdaMART,2.935614473
60%,LambdaMART,2.881019673
60%,LambdaMART,2.731607408
60%,LambdaMART,2.714273208
60%,LambdaMART,2.628736219
60%,LambdaMART,2.617938118
60%,LambdaMART,2.597591314
60%,LambdaMART,2.584116007
60%,LambdaMART,2.523282098
60%,LambdaMART,2.50958181
60%,LambdaMART,2.490176438
60%,LambdaMART,2.445856868
60%,LambdaMART,2.242520622
60%,LambdaMART,2.220495227
60%,LambdaMART,2.169403479
60%,LambdaMART,2.158690223
60%,LambdaMART,2.010616269
60%,LambdaMART,1.992267716
60%,LambdaMART,1.968705471
60%,LambdaMART,1.966770783
60%,LambdaMART,1.918401305
60%,LambdaMART,1.845262907
60%,LambdaMART,1.80476176
60%,LambdaMART,1.79505642
60%,LambdaMART,1.786220693
60%,LambdaMART,1.767032241
60%,LambdaMART,1.744232798
60%,LambdaMART,1.738865399
60%,LambdaMART,1.722299482
60%,LambdaMART,1.715941566
60%,LambdaMART,1.711185876
60%,LambdaMART,1.709984212
60%,LambdaMART,1.699047996
60%,LambdaMART,1.644909395
60%,LambdaMART,1.58454359
60%,LambdaMART,1.577571428
60%,LambdaMART,1.567201287
60%,LambdaMART,1.457243446
60%,LambdaMART,1.438229689
60%,LambdaMART,1.436483368
60%,LambdaMART,1.390630581
60%,LambdaMART,1.370573452
60%,LambdaMART,1.364983096
60%,LambdaMART,1.316226901
60%,LambdaMART,1.306464909
60%,LambdaMART,1.302826394
60%,LambdaMART,1.298694206
60%,LambdaMART,1.24900769
60%,LambdaMART,1.23565676
60%,LambdaMART,1.231875698
60%,LambdaMART,1.219101988
60%,LambdaMART,1.205472893
60%,LambdaMART,1.168469263
60%,LambdaMART,1.158284582
60%,LambdaMART,1.15402278
60%,LambdaMART,1.134008977
60%,LambdaMART,1.123990766
60%,LambdaMART,1.114073829
60%,LambdaMART,1.060453246
60%,LambdaMART,1.030100342
60%,LambdaMART,1.02980227
60%,LambdaMART,1.007416786
60%,LambdaMART,1.001194661
60%,LambdaMART,0.992213058
60%,LambdaMART,0.987847236
60%,LambdaMART,0.957093398
60%,LambdaMART,0.955946337
60%,LambdaMART,0.938904664
60%,LambdaMART,0.931235712
60%,LambdaMART,0.924456724
60%,LambdaMART,0.920727113
60%,LambdaMART,0.918243149
60%,LambdaMART,0.910013008
60%,LambdaMART,0.887564341
60%,LambdaMART,0.879747643
60%,LambdaMART,0.862693084
60%,LambdaMART,0.849531127
60%,LambdaMART,0.847369233
60%,LambdaMART,0.832398755
60%,LambdaMART,0.820984895
60%,LambdaMART,0.803018138
60%,LambdaMART,0.798990682
60%,LambdaMART,0.762177365
60%,LambdaMART,0.755312796
60%,LambdaMART,0.745118768
60%,LambdaMART,0.742506513
60%,LambdaMART,0.740564877
60%,LambdaMART,0.715200612
60%,LambdaMART,0.701123061
60%,LambdaMART,0.696065824
60%,LambdaMART,0.693638931
60%,LambdaMART,0.676929493
60%,LambdaMART,0.674739708
60%,LambdaMART,0.651754153
60%,LambdaMART,0.642393457
60%,LambdaMART,0.632673926
60%,LambdaMART,0.583520054
60%,LambdaMART,0.576506384
60%,LambdaMART,0.572857499
60%,LambdaMART,0.568240295
60%,LambdaMART,0.564712879
60%,LambdaMART,0.561294246
60%,LambdaMART,0.54599813
60%,LambdaMART,0.545973864
60%,LambdaMART,0.54395455
60%,LambdaMART,0.523492555
60%,LambdaMART,0.522122148
60%,LambdaMART,0.507214277
60%,LambdaMART,0.501436052
60%,LambdaMART,0.455497693
60%,LambdaMART,0.427313173
60%,LambdaMART,0.426074315
60%,LambdaMART,0.424547862
60%,LambdaMART,0.413728722
60%,LambdaMART,0.408599238
60%,LambdaMART,0.389182478
60%,LambdaMART,0.377706986
60%,LambdaMART,0.362502261
60%,LambdaMART,0.353336867
60%,LambdaMART,0.347870304
60%,LambdaMART,0.345158501
60%,LambdaMART,0.344609513
60%,LambdaMART,0.318572143
60%,LambdaMART,0.309701912
60%,LambdaMART,0.282909349
60%,LambdaMART,0.276429118
60%,LambdaMART,0.272917393
60%,LambdaMART,0.269079512
60%,LambdaMART,0.26046546
60%,LambdaMART,0.25441597
60%,LambdaMART,0.245567035
60%,LambdaMART,0.242676264
60%,LambdaMART,0.235051028
60%,LambdaMART,0.229133565
60%,LambdaMART,0.223449103
60%,LambdaMART,0.221885683
60%,LambdaMART,0.207839221
60%,LambdaMART,0.202896345
60%,LambdaMART,0.196627406
60%,LambdaMART,0.188921139
60%,LambdaMART,0.175077769
60%,LambdaMART,0.162796707
60%,LambdaMART,0.160725691
60%,LambdaMART,0.157859387
60%,LambdaMART,0.153884312
60%,LambdaMART,0.152693863
60%,LambdaMART,0.147837379
60%,LambdaMART,0.145838736
60%,LambdaMART,0.143906489
60%,LambdaMART,0.130431893
60%,LambdaMART,0.125431268
60%,LambdaMART,0.121866252
60%,LambdaMART,0.116203362
60%,LambdaMART,0.106692231
60%,LambdaMART,0.098837101
60%,LambdaMART,0.093935178
60%,LambdaMART,0.066800021
60%,LambdaMART,0.062365459
60%,LambdaMART,0.06129925
60%,LambdaMART,0.040846527
60%,LambdaMART,0.036217318
60%,LambdaMART,0.027214206
60%,LambdaMART,0.021577419
60%,LambdaMART,0.020074989
60%,LambdaMART,0.020073201
60%,LambdaMART,0.016311813
60%,LambdaMART,0.012563284
60%,LambdaMART,0.008931741
60%,LambdaMART,0.00531365
60%,LambdaMART,-0.009277418
60%,LambdaMART,-0.013051716
60%,LambdaMART,-0.020551347
60%,LambdaMART,-0.021138411
60%,LambdaMART,-0.022824563
60%,LambdaMART,-0.03428489
60%,LambdaMART,-0.042440401
60%,LambdaMART,-0.044205118
60%,LambdaMART,-0.045547667
60%,LambdaMART,-0.045883895
60%,LambdaMART,-0.053926558
60%,LambdaMART,-0.053995869
60%,LambdaMART,-0.0588252
60%,LambdaMART,-0.062661222
60%,LambdaMART,-0.064308781
60%,LambdaMART,-0.072629056
60%,LambdaMART,-0.076898307
60%,LambdaMART,-0.088273286
60%,LambdaMART,-0.090768813
60%,LambdaMART,-0.09139811
60%,LambdaMART,-0.092542762
60%,LambdaMART,-0.10880021
60%,LambdaMART,-0.112508777
60%,LambdaMART,-0.116272797
60%,LambdaMART,-0.118109987
60%,LambdaMART,-0.123291738
60%,LambdaMART,-0.123734162
60%,LambdaMART,-0.124429838
60%,LambdaMART,-0.125364225
60%,LambdaMART,-0.133507078
60%,LambdaMART,-0.145086459
60%,LambdaMART,-0.14591567
60%,LambdaMART,-0.14646426
60%,LambdaMART,-0.147410346
60%,LambdaMART,-0.148163867
60%,LambdaMART,-0.153303013
60%,LambdaMART,-0.154866416
60%,LambdaMART,-0.158150281
60%,LambdaMART,-0.158835261
60%,LambdaMART,-0.160274895
60%,LambdaMART,-0.160946888
60%,LambdaMART,-0.161563449
60%,LambdaMART,-0.167185555
60%,LambdaMART,-0.17805796
60%,LambdaMART,-0.180387725
60%,LambdaMART,-0.186732097
60%,LambdaMART,-0.197041594
60%,LambdaMART,-0.200993367
60%,LambdaMART,-0.202767966
60%,LambdaMART,-0.213872013
60%,LambdaMART,-0.216842021
