stock_code,年份,公司名称,评级日期,WindESG评级,ESG,管理实践得分,争议事件得分,E,S,治理得分,证监会行业,Wind行业
2350,2021,北京科锐,2021/8/1,BB,5.49,2.63,2.86,0.75,3.37,6.97,电气机械和器材制造业,电气设备
2351,2021,漫步者,2021/8/1,B,4.64,1.67,2.97,0,0.7,5.31,计算机、通信和其他电子设备制造业,家庭耐用消费品
2352,2021,顺丰控股,2021/3/25,AA,7.96,5.31,2.65,5.82,8.05,8.07,邮政业,航空货运与物流Ⅲ
2353,2021,杰瑞股份,2021/4/16,A,7.61,4.7,2.91,5.72,7.79,6.8,专用设备制造业,能源设备与服务
2354,2021,天娱数科,2021/8/1,BB,5.43,2.66,2.77,0,2.22,6.16,互联网和相关服务,软件
2355,2021,兴民智通,2021/8/1,BBB,6.37,3.48,2.89,0.75,5.13,6.62,汽车制造业,汽车零配件
2356,2021,赫美集团,2021/8/1,CCC,3.97,1.38,2.59,0.92,0.93,3.54,零售业,消费品经销商Ⅲ
2357,2021,富临运业,2021/8/1,BBB,6,3.35,2.64,0.5,5.68,7.75,道路运输业,公路与铁路运输
2358,2021,森源电气,2021/8/1,B,4.79,2.08,2.71,0,3.15,5.54,电气机械和器材制造业,电气设备
2360,2021,同德化工,2021/8/1,BBB,6.17,3.19,2.97,1.34,5.82,6.32,化学原料和化学制品制造业,化工
2361,2021,神剑股份,2021/8/1,BBB,6.21,3.26,2.95,2.25,5.63,5.97,化学原料和化学制品制造业,化工
2362,2021,汉王科技,2021/8/1,BBB,6.66,3.73,2.93,2.96,4.29,6.87,计算机、通信和其他电子设备制造业,软件
2363,2021,隆基机械,2021/8/1,BBB,6.62,3.66,2.96,0,6.26,6.44,汽车制造业,汽车零配件
2364,2021,中恒电气,2021/8/1,BB,5.62,2.88,2.74,0,4.56,7.46,电气机械和器材制造业,电气设备
2365,2021,永安药业,2021/8/1,BBB,6.97,3.98,2.99,3.76,5.67,7,医药制造业,制药
2366,2021,融发核电,2021/8/1,BB,4.8,2.21,2.59,0.42,3.9,4.91,专用设备制造业,电气设备
2367,2021,康力电梯,2021/8/1,BB,5.48,3.16,2.31,0,4.15,7.68,通用设备制造业,机械
2368,2021,太极股份,2021/8/1,A,6.57,4.33,2.25,6.94,6.46,5.62,软件和信息技术服务业,信息技术服务
2369,2021,卓翼科技,2021/8/1,BB,4.88,2.87,2.01,0.21,3.28,6.39,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2370,2021,亚太药业,2021/8/1,BB,6.18,3.36,2.82,2.02,5.25,6.23,医药制造业,制药
2371,2021,北方华创,2021/5/6,AA,8.42,5.46,2.96,6.43,8.05,8.05,专用设备制造业,半导体产品与半导体设备
2372,2021,伟星新材,2021/4/24,BBB,5.94,3.44,2.5,2.84,4.24,7.47,橡胶和塑料制品业,建筑产品Ⅲ
2373,2021,千方科技,2021/7/15,A,7.55,4.63,2.92,0,7.3,6.48,软件和信息技术服务业,信息技术服务
2374,2021,中锐股份,2021/8/1,BBB,6.27,3.71,2.56,2.66,5.38,6.78,金属制品业,容器与包装
2375,2021,亚厦股份,2021/5/6,B,4.79,2.37,2.43,1.36,2.72,5.82,建筑装饰和其他建筑业,建筑与工程Ⅲ
2376,2021,新北洋,2021/8/1,A,7.65,4.7,2.95,5.45,6.05,8.18,计算机、通信和其他电子设备制造业,电脑与外围设备
2377,2021,国创高新,2021/8/1,BB,5.12,2.29,2.83,0,1.17,6.56,房地产业,房地产管理和开发
2378,2021,章源钨业,2021/8/1,BBB,6.28,3.36,2.92,1.72,5.82,6.03,有色金属冶炼和压延加工业,金属、非金属与采矿
2379,2021,宏创控股,2021/8/1,BBB,6.04,3.04,3,0.89,4.94,6.39,有色金属冶炼和压延加工业,金属、非金属与采矿
2380,2021,科远智慧,2021/8/1,BBB,5.97,3.1,2.87,1.26,5.49,6.23,软件和信息技术服务业,电气设备
2381,2021,双箭股份,2021/8/1,BBB,6.34,3.39,2.95,1.34,6.38,6.6,橡胶和塑料制品业,化工
