trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,total_profit
2022/2/24,2022/2/23,4592.069,4610.879,4488.476,4529.319,1844030.58,34234666.69,-0.020274,44,924159.5062
2022/2/25,2022/2/24,4564.632,4611.86,4561.896,4573.425,1497225.83,27172759.97,0.009738,41,933158.9715
2022/2/28,2022/2/25,4563.743,4581.646,4530.676,4581.646,1354069.78,24836372.75,0.001798,52,934836.7913
2022/3/1,2022/2/28,4597.855,4623.431,4583.917,4619.686,1231392.2,26043118.51,0.008303,66,942598.7412
2022/3/2,2022/3/1,4594.017,4594.017,4558.442,4578.601,1132983.25,21529965.54,-0.008893,53,934216.2106
2022/3/3,2022/3/2,4595.025,4599.397,4544.431,4551.628,1382858.77,24270177.2,-0.005891,51,928712.7429
2022/3/4,2022/3/3,4513.364,4539.393,4481.493,4496.43,1272668.06,24997028.23,-0.012127,33,917450.2435
2022/3/7,2022/3/4,4462.517,4462.517,4338.304,4352.778,1621977.06,30689852.77,-0.031948,52,888139.5431
2022/3/8,2022/3/7,4361.642,4383.647,4252.539,4265.391,1678632.77,31517669.84,-0.020076,35,870309.2536
2022/3/9,2022/3/8,4280.979,4304.482,4068.193,4226.346,1942329,34100939.19,-0.009154,54,862342.4427
2022/3/10,2022/3/9,4326.204,4335.673,4288.508,4292.837,1452663.83,30163618.22,0.015733,41,875909.6764
2022/3/11,2022/3/10,4231.196,4316.044,4176.452,4306.522,1523999.21,29500883.24,0.003188,137,878702.0764
2022/3/14,2022/3/11,4248.153,4280.361,4174.758,4174.758,1301872.36,26069165.95,-0.030596,168,851817.3077
2022/3/15,2022/3/14,4125.487,4163.418,3983.812,3983.812,2025246.99,34698894.74,-0.045738,60,812856.8877
2022/3/16,2022/3/15,4053.099,4168.585,3942.861,4156.081,1960219.82,37888358.83,0.043242,64,848006.4452
2022/3/17,2022/3/16,4237.672,4302.743,4217.804,4237.696,1794073.44,38503919.73,0.019637,67,864658.7478
2022/3/18,2022/3/17,4218.474,4283.368,4194.94,4265.902,1494583.05,27579129.11,0.006656,73,870413.9164
2022/3/21,2022/3/18,4280.14,4287.817,4223.024,4258.746,1270363.6,25121454.33,-0.001677,159,868954.2323
2022/3/22,2022/3/21,4252.566,4283.334,4236.689,4255.295,1263824.7,22621353.4,-0.00081,114,868250.3793
2022/3/23,2022/3/22,4269.609,4287.577,4241.957,4276.517,1170890.78,22639077.84,0.004987,71,872580.344
2022/3/24,2022/3/23,4249.533,4273.957,4216.851,4251.306,1089182.72,21959443.05,-0.005895,88,867436.4829
2022/3/25,2022/3/24,4249.073,4254.845,4173.93,4174.574,1088080.46,21701318.73,-0.018049,68,851780.1218
2022/3/28,2022/3/25,4128.838,4174.121,4091.298,4148.466,1184490.21,21346897.4,-0.006254,158,846453.0889
2022/3/29,2022/3/28,4155.418,4177.213,4124.718,4134.144,1002669.72,19946385.37,-0.003452,128,843531.1328
2022/3/30,2022/3/29,4162.167,4254.099,4160.735,4254.099,1383460.24,26886918.12,0.029016,151,868007.0322
2022/3/31,2022/3/30,4234.716,4247.36,4214.535,4222.597,1340291.85,23887721.68,-0.007405,169,861579.4401
2022/4/1,2022/3/31,4198.819,4290.671,4190.084,4276.158,1338030.53,24475887.08,0.012684,420,872507.7137
2022/4/6,2022/4/1,4258.833,4277.524,4236.728,4263.841,1590621.95,25369092.99,-0.00288,0,869994.8915
2022/4/7,2022/4/6,4240.024,4278.113,4205.743,4209.1,1348803.53,21699618.55,-0.012838,135,858825.8971
2022/4/8,2022/4/7,4213.211,4237.813,4175.529,4230.767,1428437.93,22908176.48,0.005148,54,863247.1328
2022/4/11,2022/4/8,4203.79,4203.79,4089.093,4100.07,1481970.71,26522493.25,-0.030892,144,836579.7024
2022/4/12,2022/4/11,4102.971,4179.973,4075.796,4179.973,1442856.84,25283041.28,0.019488,131,852882.9676
2022/4/13,2022/4/12,4154.412,4194.037,4139.737,4139.737,1250974.89,22128102.96,-0.009626,150,844673.1162
2022/4/14,2022/4/13,4172.644,4217.061,4155.551,4191.568,1247913.16,24599382.2,0.01252,115,855248.4236
2022/4/15,2022/4/14,4162.372,4211.317,4152.974,4188.747,1247622.63,22622974.03,-0.000673,70,854672.8414
2022/4/18,2022/4/15,4152.931,4171.743,4119.994,4166.384,1175046.1,21285532.82,-0.005339,201,850109.7431
2022/4/19,2022/4/18,4161.933,4186.939,4115.418,4134.902,1102174.71,20857057.91,-0.007556,206,843686.3139
2022/4/20,2022/4/19,4130.543,4136.166,4060.504,4070.789,1173316.58,21653663.57,-0.015505,122,830604.9576
2022/4/21,2022/4/20,4048.734,4086.439,3978.367,3995.83,1327838.28,22702667.97,-0.018414,179,815310.1979
2022/4/22,2022/4/21,3967.202,4037.084,3953.722,4013.25,1221018.11,20637176.67,0.00436,137,818864.9504
2022/4/25,2022/4/22,3933.446,3958.21,3814.913,3814.913,1683645.02,27288927.23,-0.049421,341,778395.8257
2022/4/26,2022/4/25,3822.489,3871.85,3773.899,3784.12,1575776.11,25962635.42,-0.008072,195,772112.6146
2022/4/27,2022/4/26,3758.084,3895.731,3757.086,3895.536,1727340.46,29692410.29,0.029443,307,794845.9263
2022/4/28,2022/4/27,3883.42,3943.435,3873.578,3921.107,1530565.86,26850224.25,0.006564,301,800063.2949
2022/4/29,2022/4/28,3939.624,4017.428,3898.57,4016.241,1794583.77,32141487.74,0.024262,1101,819474.4306
2022/5/5,2022/4/29,3995.353,4039.7,3988.931,4010.21,1541707.16,29053823.07,-0.001502,0,818243.58
2022/5/6,2022/5/5,3928.855,3947.238,3902.051,3908.815,1230055.51,21482517.4,-0.025284,432,797555.1093
2022/5/9,2022/5/6,3883.951,3914.112,3854.935,3877.436,929366.94,17175650.29,-0.008028,319,791152.3369
2022/5/10,2022/5/9,3820.628,3932.682,3808.57,3919.868,1364169.18,23906021.19,0.010943,86,799809.9169
2022/5/11,2022/5/10,3917.932,4033.303,3916.525,3976.423,1656322.56,30929491.28,0.014428,56,811349.5744
2022/5/12,2022/5/11,3949.949,3985.927,3935.589,3958.74,1133760.66,20202915.64,-0.004447,46,807741.5028
2022/5/13,2022/5/12,3983.82,4003.854,3957.139,3988.6,1099683.57,19572704.49,0.007543,35,813834.297
2022/5/16,2022/5/13,4014.996,4018.028,3947.746,3956.538,1124252.94,19971790.95,-0.008038,50,807292.6969
2022/5/17,2022/5/16,3961.761,4005.893,3955.102,4005.893,1096614.54,21011753.97,0.012474,57,817362.866
2022/5/18,2022/5/17,4015.013,4017.341,3964.75,3991.907,1080742.33,20180066.61,-0.003491,33,814509.4523
2022/5/19,2022/5/18,3938.296,3999.598,3933.745,3999.598,1162934.2,21020668.16,0.001927,29,816079.012
2022/5/20,2022/5/19,4020.816,4077.602,4020.816,4077.6,1470691.73,26560908.99,0.019502,42,831994.1849
2022/5/23,2022/5/20,4080.969,4080.969,4029.085,4053.982,1304778.1,22598154.09,-0.005792,33,827175.2745
2022/5/24,2022/5/23,4052.868,4055.783,3959.154,3959.154,1455543.36,24771303.97,-0.023391,51,807826.8177
2022/5/25,2022/5/24,3959.767,3983.624,3946.808,3983.178,1077340.15,18870053.74,0.006068,63,812728.7108
2022/5/26,2022/5/25,3987.682,4015.747,3938.239,3993.045,1262636.89,21698702.54,0.002477,44,814741.8398
2022/5/27,2022/5/26,4022.71,4051.143,3983.384,4001.299,1127693.37,20694442.62,0.002067,17,816425.9112
2022/5/30,2022/5/27,4020.858,4040.819,4003.377,4029.018,1111522.41,21114472.16,0.006928,60,822082.1099
