report_id,date,qid_date,stock_code,page,advance_reaction,star_analyst,title_len,num_sentence,avg_sentence_len,sd_sentence_len,num_authors,analyst_coverage,ln_page,ln_title_len,ln_num_sentence,ln_avg_sentence_len,ln_sd_sentence_len,ln_num_authors,ln_analyst_coverage,rm_rf,smb,hml,rmw,cma,broker_size,listed,ln_broker_size,prior_performance_avg,prior_performance_sd,broker_status,real_return,up_down,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,close,pclose,volume,trade_date
99147,2018/12/27,20181227,300037,42,0,1,16,10,78.9,46.45094186,2,51,3.737669706,2.77258873,2.302585125,4.368181229,3.838396788,1.098612309,3.951243639,0.003519,0.054966,-0.049574,-0.022906,-0.008478,97,1,4.584967613,0.526247541,0.341308322,8.456593569,0.027778,1,0,0,0,0,1,0,24.05,23.4,4618338,20181228
126404,2018/12/27,20181227,300429,5,0,0,30,20,50.05,30.85040518,3,6,1.609437943,3.401197433,2.995732307,3.913022518,3.429149866,1.386294365,1.945910096,0.003519,0.054966,-0.049574,-0.022906,-0.008478,72,1,4.290459633,0.521630582,0.335414694,7.5750717,0.022951,1,0,0,0,0,1,0,31.2,30.5,2114109,20181228
108288,2018/12/27,20181227,300144,24,0,1,26,18,70.88888889,37.21094356,2,63,3.178053856,3.258096457,2.890371799,4.261113644,3.616602898,1.098612309,4.158883095,0.003519,0.054966,-0.049574,-0.022906,-0.008478,41,0,3.737669706,0.521672542,0.327312266,6.381816017,0.02251,1,0,1,0,0,0,0,21.35,20.88,9199766,20181228
133044,2018/12/27,20181227,300604,15,1,1,28,15,54.8,29.84671953,1,22,2.708050251,3.33220458,2.708050251,4.003690243,3.39607501,0.693147182,3.135494232,0.003519,0.054966,-0.049574,-0.022906,-0.008478,79,1,4.382026672,0.537663864,0.326362606,8.062432792,0.01932,1,0,0,0,0,1,0,30.6,30.02,2309756,20181228
97059,2018/12/27,20181227,300017,3,0,1,24,18,59.55555556,23.00295204,1,30,1.098612309,3.178053856,2.890371799,4.086909771,3.135622501,0.693147182,3.433987141,0.003519,0.054966,-0.049574,-0.022906,-0.008478,123,0,4.820281506,0.559188552,0.33967494,8.678971847,0.010323,1,0,1,0,0,0,0,7.83,7.75,42163669,20181228
136836,2018/12/27,20181227,300724,28,0,1,13,12,63.83333333,36.66477268,2,8,3.33220458,2.564949274,2.484906673,4.156275749,3.601816416,1.098612309,2.197224617,0.003519,0.054966,-0.049574,-0.022906,-0.008478,97,1,4.584967613,0.526247541,0.341308322,8.456593569,0.008499,1,0,0,0,0,1,0,28.48,28.24,2360795,20181228
131291,2018/12/27,20181227,300567,4,0,1,24,17,57.70588235,35.40981038,1,34,1.386294365,3.178053856,2.833213329,4.055358887,3.566988945,0.693147182,3.555348158,0.003519,0.054966,-0.049574,-0.022906,-0.008478,73,0,4.304065228,0.574802104,0.335116725,7.989899375,0.00658,1,0,0,0,0,1,0,50.48,50.15,874631,20181228
128739,2018/12/27,20181227,300474,5,0,0,26,20,58.65,30.77056223,1,10,1.609437943,3.258096457,2.995732307,4.071587563,3.426558495,0.693147182,2.397895336,0.003519,0.054966,-0.049574,-0.022906,-0.008478,72,1,4.290459633,0.521630582,0.335414694,7.5750717,-0.0104,0,0,0,0,0,1,0,36.16,36.54,783900,20181228
126921,2018/12/27,20181227,300450,4,0,0,19,11,75.54545455,40.32676449,2,59,1.386294365,2.944438934,2.397895336,4.324734688,3.697015285,1.098612309,4.094344616,0.003519,0.054966,-0.049574,-0.022906,-0.008478,137,0,4.927253723,0.496674464,0.323777654,6.80682936,-0.015646,0,0,0,0,0,1,0,28.94,29.4,8300877,20181228
126965,2018/12/27,20181227,300450,4,0,0,21,16,55.1875,32.07650766,2,59,1.386294365,3.044522524,2.77258873,4.010736465,3.468123913,1.098612309,4.094344616,0.003519,0.054966,-0.049574,-0.022906,-0.008478,72,1,4.290459633,0.535053356,0.340557607,7.911324019,-0.015646,0,0,0,0,0,1,0,28.94,29.4,8300877,20181228
