stock_code,qid_date,real_return,close,pclose,volume,real_date
301269,20221026,-0.00411,106.62,107.06,9600165,20221027
301269,20221026,-0.00411,106.62,107.06,9600165,20221027
300316,20221026,-0.004557,76.46,76.81,11057781,20221027
300316,20221026,-0.004557,76.46,76.81,11057781,20221027
300316,20221026,-0.004557,76.46,76.81,11057781,20221027
300908,20221026,-0.005549,32.26,32.44,1035702,20221027
300332,20221026,-0.005609,12.41,12.48,4977800,20221027
300332,20221026,-0.005609,12.41,12.48,4977800,20221027
300332,20221026,-0.005609,12.41,12.48,4977800,20221027
301073,20221026,-0.005971,68.25,68.66,1214077,20221027
301073,20221026,-0.005971,68.25,68.66,1214077,20221027
300196,20221026,-0.006008,14.89,14.98,10449175,20221027
300196,20221026,-0.006008,14.89,14.98,10449175,20221027
300737,20221026,-0.008189,10.9,10.99,20970843,20221027
300363,20221026,-0.008573,45.1,45.49,22792547,20221027
300363,20221026,-0.008573,45.1,45.49,22792547,20221027
300363,20221026,-0.008573,45.1,45.49,22792547,20221027
300363,20221026,-0.008573,45.1,45.49,22792547,20221027
300568,20221026,-0.008937,19.96,20.14,26282441,20221027
300294,20221026,-0.009742,31.51,31.82,4185014,20221027
300775,20221026,-0.009836,45.3,45.75,10553504,20221027
300532,20221026,-0.010509,17.89,18.08,29059956,20221027
300019,20221026,-0.010897,15.43,15.6,4006600,20221027
300019,20221026,-0.010897,15.43,15.6,4006600,20221027
300762,20221026,-0.011217,11.46,11.59,10062581,20221027
300223,20221026,-0.012518,69.42,70.3,6651443,20221027
300223,20221026,-0.012518,69.42,70.3,6651443,20221027
300755,20221026,-0.012549,22.82,23.11,4607859,20221027
300755,20221026,-0.012549,22.82,23.11,4607859,20221027
300755,20221026,-0.012549,22.82,23.11,4607859,20221027
300755,20221026,-0.012549,22.82,23.11,4607859,20221027
300786,20221026,-0.015108,13.69,13.9,2307324,20221027
300894,20221026,-0.015444,22.95,23.31,1521561,20221027
300894,20221026,-0.015444,22.95,23.31,1521561,20221027
300260,20221026,-0.015535,105.83,107.5,2837367,20221027
300260,20221026,-0.015535,105.83,107.5,2837367,20221027
300888,20221026,-0.016255,67.78,68.9,1365645,20221027
300888,20221026,-0.016255,67.78,68.9,1365645,20221027
300888,20221026,-0.016255,67.78,68.9,1365645,20221027
300888,20221026,-0.016255,67.78,68.9,1365645,20221027
300888,20221026,-0.016255,67.78,68.9,1365645,20221027
300888,20221026,-0.016255,67.78,68.9,1365645,20221027
300496,20221026,-0.016614,102.99,104.73,5110460,20221027
300496,20221026,-0.016614,102.99,104.73,5110460,20221027
300496,20221026,-0.016614,102.99,104.73,5110460,20221027
300496,20221026,-0.016614,102.99,104.73,5110460,20221027
300791,20221026,-0.016821,28.64,29.13,1492690,20221027
301328,20221026,-0.017507,69.59,70.83,2016394,20221027
300680,20221026,-0.01768,27.78,28.28,3142594,20221027
300680,20221026,-0.01768,27.78,28.28,3142594,20221027
300073,20221026,-0.020973,61.15,62.46,15962547,20221027
300855,20221026,-0.022189,52.88,54.08,2380283,20221027
301168,20221026,-0.022997,69.25,70.88,3628490,20221027
300083,20221026,-0.023343,10.46,10.71,42815149,20221027
300083,20221026,-0.023343,10.46,10.71,42815149,20221027
300012,20221026,-0.024181,19.37,19.85,11107958,20221027
300012,20221026,-0.024181,19.37,19.85,11107958,20221027
300119,20221026,-0.024344,20.44,20.95,3818077,20221027
300119,20221026,-0.024344,20.44,20.95,3818077,20221027
300575,20221026,-0.024451,23.54,24.13,8727525,20221027
300575,20221026,-0.024451,23.54,24.13,8727525,20221027
301071,20221026,-0.024559,125.51,128.67,3082749,20221027
301071,20221026,-0.024559,125.51,128.67,3082749,20221027
301071,20221026,-0.024559,125.51,128.67,3082749,20221027
301071,20221026,-0.024559,125.51,128.67,3082749,20221027
301071,20221026,-0.024559,125.51,128.67,3082749,20221027
300673,20221026,-0.025981,17.62,18.09,9371585,20221027
300673,20221026,-0.025981,17.62,18.09,9371585,20221027
300673,20221026,-0.025981,17.62,18.09,9371585,20221027
